NAME                                READY   STATUS    RESTARTS      AGE     IP          NODE             NOMINATED NODE   READINESS GATES
api-gateway-6fb497d6b-mh297         1/1     Running   1 (23h ago)   24h     10.1.0.40   docker-desktop   <none>           <none>
api-gateway-6fb497d6b-nhgbn         1/1     Running   1 (23h ago)   24h     10.1.0.38   docker-desktop   <none>           <none>
delivery-service-7d749bd896-5m8wb   1/1     Running   0             2m44s   10.1.0.51   docker-desktop   <none>           <none>
delivery-service-7d749bd896-72tfh   1/1     Running   0             2m44s   10.1.0.49   docker-desktop   <none>           <none>
delivery-service-7d749bd896-8zb5n   1/1     Running   0             2m44s   10.1.0.48   docker-desktop   <none>           <none>
delivery-service-7d749bd896-glwxf   1/1     Running   0             6m38s   10.1.0.47   docker-desktop   <none>           <none>
delivery-service-7d749bd896-jfhc2   1/1     Running   0             6m50s   10.1.0.45   docker-desktop   <none>           <none>
delivery-service-7d749bd896-jxbd7   1/1     Running   0             6m50s   10.1.0.44   docker-desktop   <none>           <none>
delivery-service-7d749bd896-r6b2s   1/1     Running   0             6m38s   10.1.0.46   docker-desktop   <none>           <none>
delivery-service-7d749bd896-zd6p4   1/1     Running   0             2m44s   10.1.0.50   docker-desktop   <none>           <none>
