LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
23h         Normal    Scheduled                      pod/delivery-service-5c9dfd4b97-hlxft          Successfully assigned im/delivery-service-5c9dfd4b97-hlxft to docker-desktop
24h         Normal    Scheduled                      pod/api-gateway-6fb497d6b-nhgbn                Successfully assigned im/api-gateway-6fb497d6b-nhgbn to docker-desktop
24h         Normal    Scheduled                      pod/api-gateway-6fb497d6b-qlzbx                Successfully assigned im/api-gateway-6fb497d6b-qlzbx to docker-desktop
24h         Normal    Scheduled                      pod/delivery-service-84ddfd8dc7-xvj6q          Successfully assigned im/delivery-service-84ddfd8dc7-xvj6q to docker-desktop
24h         Normal    Scheduled                      pod/delivery-service-5c9dfd4b97-zmh2k          Successfully assigned im/delivery-service-5c9dfd4b97-zmh2k to docker-desktop
24h         Normal    Scheduled                      pod/delivery-service-69c54d7cfc-lpczk          Successfully assigned im/delivery-service-69c54d7cfc-lpczk to docker-desktop
24h         Normal    Scheduled                      pod/delivery-service-69c9fd7578-4qztf          Successfully assigned im/delivery-service-69c9fd7578-4qztf to docker-desktop
24h         Normal    Scheduled                      pod/api-gateway-6fb497d6b-mh297                Successfully assigned im/api-gateway-6fb497d6b-mh297 to docker-desktop
23h         Normal    Scheduled                      pod/delivery-service-5c9dfd4b97-9h2tj          Successfully assigned im/delivery-service-5c9dfd4b97-9h2tj to docker-desktop
24h         Normal    Scheduled                      pod/delivery-service-758cc65b8f-fcmj5          Successfully assigned im/delivery-service-758cc65b8f-fcmj5 to docker-desktop
24h         Normal    Scheduled                      pod/delivery-service-5c9dfd4b97-rl259          Successfully assigned im/delivery-service-5c9dfd4b97-rl259 to docker-desktop
24h         Normal    Scheduled                      pod/delivery-service-758cc65b8f-k722v          Successfully assigned im/delivery-service-758cc65b8f-k722v to docker-desktop
24h         Normal    Scheduled                      pod/delivery-service-69c9fd7578-9nzzt          Successfully assigned im/delivery-service-69c9fd7578-9nzzt to docker-desktop
24h         Normal    ScalingReplicaSet              deployment/api-gateway                         Scaled up replica set api-gateway-6fb497d6b from 0 to 1
24h         Normal    ScalingReplicaSet              deployment/delivery-service                    Scaled up replica set delivery-service-758cc65b8f from 0 to 1
24h         Normal    SuccessfulCreate               replicaset/delivery-service-758cc65b8f         Created pod: delivery-service-758cc65b8f-k722v
24h         Normal    SuccessfulCreate               replicaset/api-gateway-6fb497d6b               Created pod: api-gateway-6fb497d6b-qlzbx
24h         Normal    Pulled                         pod/api-gateway-6fb497d6b-qlzbx                Container image "im/api-gateway:latest" already present on machine
24h         Normal    Created                        pod/api-gateway-6fb497d6b-qlzbx                Created container: api-gateway
24h         Normal    Started                        pod/api-gateway-6fb497d6b-qlzbx                Started container api-gateway
24h         Normal    SuccessfulCreate               replicaset/delivery-service-758cc65b8f         Created pod: delivery-service-758cc65b8f-fcmj5
24h         Normal    ScalingReplicaSet              deployment/delivery-service                    Scaled up replica set delivery-service-758cc65b8f from 1 to 2
24h         Normal    SuccessfulCreate               replicaset/api-gateway-6fb497d6b               Created pod: api-gateway-6fb497d6b-nhgbn
24h         Normal    Created                        pod/api-gateway-6fb497d6b-nhgbn                Created container: api-gateway
24h         Normal    Pulled                         pod/api-gateway-6fb497d6b-nhgbn                Container image "im/api-gateway:latest" already present on machine
24h         Normal    Started                        pod/api-gateway-6fb497d6b-nhgbn                Started container api-gateway
24h         Warning   BackOff                        pod/delivery-service-758cc65b8f-k722v          Back-off restarting failed container delivery-service in pod delivery-service-758cc65b8f-k722v_im(91c0d969-5068-4c94-babc-d3b2a4c12429)
24h         Normal    ScalingReplicaSet              deployment/delivery-service                    Scaled up replica set delivery-service-84ddfd8dc7 from 0 to 1
24h         Normal    SuccessfulCreate               replicaset/delivery-service-84ddfd8dc7         Created pod: delivery-service-84ddfd8dc7-xvj6q
24h         Normal    Created                        pod/delivery-service-758cc65b8f-k722v          Created container: delivery-service
24h         Normal    Pulled                         pod/delivery-service-758cc65b8f-k722v          Container image "im/delivery-service:latest" already present on machine
